iter	RMSE
0	192007.1412
1	186952.8881
2	182069.6919
3	177307.0777
4	172818.1096
5	168238.1486
6	163975.8816
7	159711.8838
8	155786.4531
9	151940.1474
10	148139.2335
11	144550.8577
12	140890.2724
13	137306.5139
14	133930.7868
15	130587.6217
16	127521.8539
17	124490.1328
18	121425.3583
19	118469.2702
20	115662.6818
21	112783.6574
22	110005.1297
23	107416.0248
24	104941.9886
25	102407.0687
26	100087.9287
27	97778.44556
28	95497.24911
29	93329.13997
30	91184.55095
31	89203.10414
32	87254.70363
33	85276.43054
34	83441.93746
35	81608.58289
36	80023.14937
37	78433.72421
38	76771.62207
39	75115.20401
40	73571.48349
41	72081.55822
42	70507.94385
43	69116.02453
44	67728.54762
45	66365.07564
46	65137.77717
47	63894.79347
48	62722.89228
49	61591.89927
50	60476.93816
51	59326.12363
52	58259.61985
53	57277.086
54	56273.13662
55	55282.06331
56	54309.73723
57	53367.34935
58	52420.55858
59	51528.22296
60	50691.03721
61	49866.71058
62	49133.96983
63	48416.55035
64	47623.31277
65	46919.73917
66	46286.67841
67	45614.08591
68	44877.10737
69	44263.67572
70	43641.20662
71	43022.67506
72	42509.24323
73	41922.63376
74	41349.29643
75	40799.01987
76	40316.23934
77	39764.23007
78	39299.83482
79	38846.75393
80	38333.05527
81	37900.03721
82	37484.68676
83	37143.00371
84	36737.74998
85	36367.39356
86	35988.68589
87	35668.41656
88	35365.77163
89	34965.57273
90	34579.44216
91	34196.14943
92	33849.91493
93	33549.10675
94	33253.85171
95	32940.64083
96	32617.55884
97	32391.29281
98	32144.16683
99	31876.85298
100	31631.65387
101	31366.40183
102	31145.45859
103	30881.42937
104	30621.39915
105	30371.93666
106	30177.11076
107	30034.78349
108	29841.4786
109	29677.14806
110	29522.30828
111	29315.76247
112	29168.94765
113	29024.84045
114	28834.3282
115	28667.38461
116	28462.82615
117	28296.78959
118	28145.62535
119	27970.66463
120	27825.53824
121	27673.7672
122	27544.83457
123	27423.65672
124	27266.63673
125	27193.38466
126	27077.80502
127	26977.16675
128	26875.32036
129	26749.46646
130	26659.20638
131	26524.84368
132	26425.40658
133	26305.05613
134	26210.40293
135	26102.06979
136	26001.51317
137	25888.04201
138	25771.33616
139	25653.25123
140	25557.61461
141	25463.82488
142	25359.72926
143	25280.88231
144	25189.5219
145	25119.21763
146	25045.34656
147	24985.86493
148	24911.38597
149	24860.76019
150	24806.40888
151	24720.10621
152	24621.2599
153	24533.46418
154	24489.20536
155	24413.81552
156	24335.67533
157	24264.12788
158	24217.16609
159	24122.57097
160	24080.34057
161	24022.39057
162	23978.84897
163	23889.0703
164	23825.8588
165	23783.81618
166	23751.79921
167	23709.36146
168	23643.76724
169	23607.18206
170	23557.1715
171	23513.9208
172	23457.54227
173	23400.75015
174	23355.14984
175	23274.30873
176	23197.17281
177	23129.90261
178	23084.56513
179	23024.70805
180	22975.95499
181	22928.44961
182	22876.63185
183	22811.90392
184	22746.37631
185	22697.08227
186	22670.53586
187	22624.8178
188	22604.99869
189	22584.8161
190	22544.6168
191	22484.82114
192	22424.98816
193	22406.86787
194	22338.76195
195	22307.11841
196	22271.07427
197	22211.91639
198	22173.98039
199	22143.31105
200	22088.34168
201	22043.17833
202	22017.46119
203	21980.476
204	21944.20402
205	21922.42616
206	21891.75696
207	21856.77254
208	21827.77293
209	21794.02454
210	21769.12873
211	21730.35022
212	21716.59139
213	21696.2729
214	21680.43181
215	21642.85626
216	21626.73056
217	21590.49448
218	21572.93845
219	21540.72914
220	21529.11998
221	21503.48954
222	21458.19532
223	21412.24135
224	21396.4189
225	21368.30781
226	21359.24508
227	21312.97164
228	21294.73433
229	21267.27826
230	21247.07786
231	21224.07857
232	21200.39332
233	21162.52916
234	21150.70445
235	21122.36414
236	21100.74854
237	21079.85337
238	21069.8406
239	21057.77486
240	21015.62595
241	21002.82184
242	20979.30898
243	20969.11056
244	20958.44767
245	20945.82436
246	20896.54423
247	20870.71711
248	20866.53971
249	20844.48041
250	20833.44612
251	20809.73348
252	20774.61128
253	20765.41352
254	20754.55611
255	20747.11625
256	20715.65266
257	20711.54539
258	20671.13961
259	20638.65227
260	20632.40201
261	20605.42294
262	20574.75696
263	20534.96003
264	20503.30114
265	20463.25782
266	20459.32981
267	20439.01955
268	20411.88758
269	20403.53646
270	20345.09789
271	20323.93457
272	20316.16564
273	20313.20054
274	20299.97709
275	20265.17552
276	20254.92698
277	20221.30334
278	20209.24847
279	20195.47647
280	20176.90616
281	20173.02571
282	20154.91349
283	20131.48293
284	20129.53038
285	20101.63942
286	20093.86482
287	20069.5607
288	20064.74749
289	20033.82057
290	20029.02775
291	20023.71485
292	20017.81445
293	20010.92096
294	19995.02069
295	19979.88708
296	19957.10643
297	19937.48292
298	19923.51841
299	19918.24556
300	19916.08455
301	19889.45215
302	19852.30397
303	19846.08563
304	19824.61927
305	19806.6692
306	19790.55504
307	19761.29978
308	19749.28339
309	19720.33901
310	19707.22594
311	19701.69013
312	19695.74301
313	19681.57002
314	19676.50983
315	19673.94143
316	19660.06461
317	19644.61268
318	19629.15781
319	19597.95591
320	19588.58585
321	19578.22551
322	19571.73278
323	19551.24087
324	19534.50087
325	19530.61648
326	19519.83655
327	19517.27717
328	19506.63173
329	19505.91687
330	19496.22153
331	19479.61389
332	19475.85421
333	19457.92923
334	19456.00679
335	19454.29714
336	19433.84211
337	19405.00099
338	19395.44189
339	19392.69996
340	19379.83382
341	19370.37165
342	19359.75444
343	19358.3637
344	19310.91628
345	19298.62762
346	19294.32049
347	19286.46402
348	19284.81166
349	19280.84579
350	19262.91728
351	19251.39142
352	19249.26173
353	19223.71483
354	19222.82777
355	19208.36254
356	19198.35728
357	19178.96807
358	19172.21018
359	19144.28333
360	19131.88222
361	19087.28328
362	19080.43144
363	19079.8813
364	19078.62787
365	19073.36505
366	19054.75207
367	19032.24203
368	19021.60239
369	19016.64011
370	18990.81355
371	18977.89732
372	18967.32829
373	18965.51535
374	18960.72582
375	18954.4866
376	18949.56835
377	18947.95399
378	18933.91163
379	18929.67363
380	18924.68126
381	18923.1902
382	18873.87924
383	18863.95328
384	18860.97239
385	18856.84851
386	18848.67393
387	18846.10278
388	18845.32103
389	18844.41537
390	18822.32961
391	18816.19855
392	18805.59575
393	18804.06442
394	18795.57948
395	18759.29771
396	18758.44256
397	18751.83233
398	18731.11539
399	18726.58744
400	18718.50001
401	18716.3378
402	18692.86318
403	18691.05111
404	18689.41367
405	18687.92209
406	18665.26576
407	18657.63582
408	18656.39129
409	18655.65598
410	18654.13562
411	18651.9988
412	18651.38232
413	18615.96236
414	18615.24015
415	18609.02934
416	18607.57856
417	18604.50518
418	18591.57626
419	18588.68639
420	18586.02873
421	18578.52262
422	18559.87672
423	18542.14736
424	18537.84784
425	18534.78719
426	18530.33054
427	18516.48041
428	18514.34119
429	18462.98245
430	18454.58901
431	18447.89586
432	18436.33453
433	18428.81984
434	18420.41605
435	18405.66456
436	18404.63297
437	18389.79865
438	18388.65846
439	18378.1956
440	18377.90305
441	18370.54526
442	18362.97192
443	18325.25493
444	18321.63725
445	18319.37332
446	18312.87077
447	18311.59197
448	18299.74271
449	18298.86019
450	18295.43769
451	18290.42636
452	18289.41151
453	18266.98149
454	18247.37561
455	18226.63515
456	18205.70525
457	18205.00759
458	18202.75801
459	18195.79936
460	18192.2389
461	18191.46751
462	18150.9183
463	18148.90636
464	18147.21157
465	18146.16743
466	18145.55733
467	18130.86704
468	18117.02797
469	18098.86643
470	18087.63731
471	18082.38642
472	18079.45641
473	18069.67261
474	18069.10466
475	18055.82978
476	18048.09818
477	18046.40145
478	18043.81456
479	18042.82635
480	18041.98765
481	18020.80052
482	18014.55905
483	18013.48271
484	18009.39792
485	18008.38695
486	18006.30938
487	17995.50283
488	17990.54942
489	17987.24841
490	17986.36015
491	17983.51394
492	17970.331
493	17953.28248
494	17951.16573
495	17943.24477
496	17931.31925
497	17925.07924
498	17920.0677
499	17916.85818
500	17898.51677
501	17894.92695
502	17883.85397
503	17883.62407
504	17877.25353
505	17874.98961
506	17872.63097
507	17869.36482
508	17849.14711
509	17847.27939
510	17804.48989
511	17801.67303
512	17801.46154
513	17795.20889
514	17793.39445
515	17792.12217
516	17791.14197
517	17790.67319
518	17783.14429
519	17763.72994
520	17759.6429
521	17723.08316
522	17720.5286
523	17715.95597
524	17710.9428
525	17710.20975
526	17704.99714
527	17700.69748
528	17686.90521
529	17684.92314
530	17674.3138
531	17674.05692
532	17672.93554
533	17661.58238
534	17659.6069
535	17658.56833
536	17648.20904
537	17646.23773
538	17643.32517
539	17637.71256
540	17632.99078
541	17628.77102
542	17627.6011
543	17621.1817
544	17618.48254
545	17613.92633
546	17609.9432
547	17607.82987
548	17607.02409
549	17600.69414
550	17595.67481
551	17589.11875
552	17582.09854
553	17572.79475
554	17565.39169
555	17525.14067
556	17523.6507
557	17515.77199
558	17515.49829
559	17503.37068
560	17493.78521
561	17492.96528
562	17482.67594
563	17480.47019
564	17478.6148
565	17475.33521
566	17462.45407
567	17459.04431
568	17457.30561
569	17454.3987
570	17449.84589
571	17449.07554
572	17446.85985
573	17445.31882
574	17435.48938
575	17405.37404
576	17404.72114
577	17404.07841
578	17403.72759
579	17403.14932
580	17403.03239
581	17394.80227
582	17393.44814
583	17391.92759
584	17388.36208
585	17387.92933
586	17384.09399
587	17378.74158
588	17376.76744
589	17371.14765
590	17341.42962
591	17331.85915
592	17330.95925
593	17327.72531
594	17298.41875
595	17285.18
596	17253.00287
597	17240.12927
598	17232.92938
599	17232.32031
600	17229.12099
601	17228.48831
602	17227.60483
603	17222.09855
604	17220.2365
605	17206.95934
606	17206.02965
607	17201.35502
608	17194.59205
609	17192.46018
610	17188.70852
611	17188.67416
612	17168.46481
613	17154.24875
614	17151.66706
615	17146.30549
616	17145.42734
617	17144.84422
618	17135.10954
619	17133.09329
620	17130.53021
621	17129.09093
622	17125.83299
623	17124.47065
624	17120.88388
625	17119.88548
626	17107.58024
627	17106.3872
628	17092.55761
629	17081.32364
630	17080.34484
631	17077.11493
632	17076.88946
633	17075.64415
634	17074.89139
635	17071.36476
636	17058.18045
637	17057.93383
638	17057.10896
639	17056.39111
640	17054.06374
641	17052.58247
642	17050.32141
643	17021.31545
644	17013.4186
645	17011.30983
646	17010.88341
647	17010.34496
648	17010.15413
649	17009.58052
650	17009.39725
651	16991.24346
652	16989.80533
653	16987.28005
654	16986.67607
655	16986.14532
656	16985.10832
657	16959.38154
658	16958.63846
659	16955.84003
660	16955.67728
661	16951.99622
662	16950.68115
663	16944.52382
664	16943.94086
665	16938.77207
666	16932.72752
667	16932.31048
668	16931.35775
669	16931.1829
670	16921.8713
671	16913.67485
672	16906.8054
673	16901.44555
674	16900.6474
675	16899.77058
676	16895.68013
677	16894.9659
678	16894.31775
679	16890.34511
680	16889.97874
681	16889.43817
682	16883.33431
683	16883.20593
684	16882.22931
685	16881.73847
686	16879.98964
687	16866.82549
688	16864.64282
689	16863.65491
690	16862.14392
691	16834.4021
692	16833.0383
693	16832.81532
694	16832.67037
695	16832.20313
696	16831.887
697	16830.45031
698	16828.00614
699	16827.18272
700	16824.87851
701	16824.10009
702	16823.98515
703	16823.40754
704	16823.11421
705	16819.87768
706	16817.73167
707	16816.23476
708	16816.09915
709	16815.87271
710	16810.53228
711	16808.93309
712	16807.99863
713	16807.72826
714	16805.45508
715	16804.51038
716	16785.67448
717	16785.19027
718	16770.27852
719	16768.77789
720	16767.40954
721	16760.35018
722	16760.03356
723	16752.92608
724	16751.71641
725	16743.17316
726	16742.39682
727	16739.99491
728	16739.57101
729	16739.21028
730	16738.25224
731	16733.71955
732	16733.50445
733	16733.30792
734	16732.73044
735	16731.88083
736	16731.5683
737	16730.77947
738	16730.604
739	16729.11961
740	16728.48134
741	16727.8072
742	16726.14647
743	16718.05406
744	16717.89923
745	16716.51391
746	16716.35659
747	16701.62578
748	16700.48569
749	16700.43646
750	16696.61666
751	16694.90266
752	16694.82857
753	16690.36807
754	16690.23552
755	16657.93249
756	16657.58171
757	16656.06414
758	16655.46591
759	16655.19981
760	16654.92763
761	16654.51385
762	16652.6511
763	16650.73015
764	16650.41073
765	16649.64897
766	16649.47351
767	16646.90115
768	16646.41635
769	16645.92913
770	16638.48467
771	16638.15343
772	16637.97708
773	16636.93572
774	16636.72667
775	16636.27493
776	16635.93557
777	16624.97121
778	16617.88248
779	16612.15004
780	16611.0197
781	16610.57439
782	16606.20516
783	16581.45997
784	16580.8088
785	16580.25311
786	16580.01384
787	16579.4502
788	16577.737
789	16571.92398
