iter	Passed	Remaining
0	8	8525
1	15	7633
2	22	7371
3	28	7177
4	34	6909
5	40	6768
6	46	6584
7	52	6477
8	57	6326
9	64	6392
10	70	6328
11	75	6239
12	80	6133
13	83	5848
14	88	5787
15	93	5737
16	98	5696
17	103	5663
18	107	5536
19	112	5517
20	115	5382
21	120	5376
22	123	5235
23	129	5246
24	134	5241
25	139	5225
26	141	5091
27	146	5087
28	151	5084
29	158	5109
30	164	5129
31	170	5155
32	172	5061
33	177	5052
34	183	5065
35	189	5061
36	194	5059
37	199	5055
38	205	5062
39	211	5068
40	217	5082
41	223	5089
42	229	5099
43	235	5116
44	243	5161
45	251	5217
46	262	5325
47	269	5337
48	274	5331
49	278	5283
50	283	5277
51	289	5270
52	294	5260
53	299	5246
54	304	5236
55	309	5224
56	315	5225
57	321	5216
58	326	5206
59	331	5197
60	337	5188
61	342	5181
62	347	5169
63	354	5178
64	359	5176
65	365	5177
66	371	5167
67	376	5158
68	381	5152
69	386	5140
70	392	5133
71	397	5124
72	403	5124
73	409	5122
74	414	5118
75	420	5113
76	426	5110
77	432	5116
78	440	5132
79	447	5147
80	454	5151
81	460	5150
82	465	5146
83	471	5140
84	477	5143
85	482	5131
86	488	5121
87	493	5112
88	498	5102
89	503	5094
90	508	5084
91	514	5075
92	519	5067
93	524	5059
94	530	5049
95	535	5040
96	540	5030
97	546	5033
98	555	5055
99	561	5049
100	566	5039
101	572	5039
102	577	5031
103	582	5021
104	588	5016
105	593	5007
106	599	5004
107	605	4998
108	610	4992
109	616	4987
110	622	4984
111	629	4987
112	637	5001
113	642	4994
114	654	5036
115	664	5060
116	670	5058
117	675	5049
118	680	5040
119	687	5039
120	692	5031
121	697	5022
122	703	5013
123	708	5003
124	713	4994
125	718	4984
126	723	4974
127	728	4965
128	734	4956
129	739	4948
130	745	4947
131	751	4938
132	756	4931
133	761	4921
134	767	4918
135	772	4910
136	778	4901
137	783	4892
138	788	4882
139	793	4876
140	799	4872
141	805	4866
142	811	4861
143	818	4866
144	824	4862
145	833	4874
146	839	4869
147	845	4865
148	850	4856
149	855	4848
150	861	4844
151	866	4835
152	871	4826
153	876	4817
154	882	4809
155	887	4799
156	892	4790
157	897	4782
158	899	4757
159	904	4747
160	909	4739
161	914	4731
162	919	4722
163	924	4714
164	929	4705
165	935	4701
166	941	4695
167	946	4687
168	951	4680
169	953	4657
170	958	4648
171	964	4641
172	969	4635
173	975	4629
174	980	4621
175	985	4612
176	991	4609
177	996	4601
178	998	4580
179	1003	4573
180	1009	4567
181	1017	4573
182	1026	4584
183	1033	4581
184	1039	4579
185	1044	4571
186	1049	4563
187	1054	4556
188	1059	4548
189	1062	4531
190	1068	4523
191	1073	4516
192	1078	4508
193	1083	4501
194	1088	4493
195	1093	4485
196	1098	4477
197	1103	4470
198	1108	4462
199	1113	4454
200	1118	4447
201	1123	4439
202	1130	4437
203	1136	4432
204	1141	4425
205	1146	4417
206	1149	4403
207	1154	4396
208	1159	4388
209	1164	4380
210	1169	4373
211	1175	4367
212	1180	4360
213	1185	4355
214	1193	4356
215	1199	4354
216	1205	4350
217	1211	4346
218	1217	4340
219	1222	4332
220	1228	4329
221	1233	4323
222	1238	4315
223	1244	4312
224	1249	4304
225	1255	4298
226	1260	4291
227	1265	4284
228	1270	4276
229	1275	4269
230	1280	4262
231	1285	4254
232	1290	4247
233	1295	4241
234	1300	4233
235	1305	4226
236	1310	4218
237	1315	4210
238	1324	4216
239	1329	4211
240	1334	4204
241	1340	4199
242	1345	4192
243	1350	4185
244	1356	4178
245	1361	4171
246	1366	4164
247	1371	4157
248	1373	4143
249	1377	4131
250	1382	4126
251	1388	4120
252	1393	4115
253	1400	4114
254	1405	4107
255	1409	4096
256	1414	4090
257	1421	4087
258	1426	4081
259	1431	4075
260	1437	4069
261	1442	4062
262	1447	4054
263	1452	4048
264	1457	4041
265	1462	4035
266	1467	4028
267	1472	4020
268	1476	4013
269	1481	4006
270	1487	4000
271	1492	3994
272	1497	3986
273	1502	3980
274	1507	3973
275	1514	3972
276	1520	3968
277	1526	3963
278	1531	3958
279	1534	3946
280	1539	3939
281	1544	3933
282	1550	3927
283	1555	3920
284	1558	3908
285	1562	3901
286	1567	3895
287	1572	3888
288	1578	3883
289	1585	3881
290	1590	3876
291	1596	3871
292	1601	3865
293	1608	3861
294	1614	3857
295	1619	3852
296	1626	3848
297	1630	3841
298	1635	3835
299	1638	3823
300	1643	3816
301	1648	3810
302	1653	3803
303	1658	3797
304	1663	3790
305	1668	3783
306	1673	3777
307	1678	3771
308	1683	3764
309	1688	3758
310	1693	3752
311	1698	3745
312	1704	3740
313	1709	3735
314	1715	3729
315	1721	3725
316	1725	3718
317	1730	3712
318	1735	3705
319	1740	3699
320	1743	3688
321	1748	3681
322	1753	3675
323	1758	3669
324	1763	3662
325	1768	3656
326	1774	3651
327	1779	3646
328	1785	3641
329	1789	3632
330	1794	3627
331	1800	3622
332	1806	3618
333	1812	3614
334	1817	3608
335	1822	3601
336	1827	3595
337	1832	3589
338	1837	3582
339	1842	3576
340	1847	3569
341	1852	3563
342	1857	3557
343	1861	3550
344	1867	3544
345	1872	3538
346	1877	3532
347	1881	3525
348	1886	3519
349	1891	3512
350	1896	3507
351	1903	3503
352	1908	3497
353	1913	3492
354	1918	3485
355	1923	3479
356	1928	3473
357	1933	3467
358	1938	3461
359	1943	3455
360	1948	3449
361	1953	3443
362	1958	3437
363	1960	3425
364	1966	3420
365	1971	3415
366	1977	3410
367	1983	3405
368	1988	3400
369	1997	3401
370	2003	3396
371	2009	3392
372	2014	3385
373	2019	3379
374	2024	3373
375	2029	3367
376	2034	3361
377	2039	3355
378	2044	3349
379	2049	3343
380	2053	3336
381	2058	3330
382	2063	3324
383	2068	3318
384	2073	3312
385	2078	3306
386	2083	3300
387	2089	3295
388	2096	3293
389	2102	3288
390	2107	3282
391	2112	3276
392	2117	3270
393	2122	3263
394	2127	3257
395	2132	3252
396	2136	3245
397	2141	3239
398	2146	3233
399	2151	3227
400	2157	3223
401	2163	3217
402	2168	3212
403	2175	3208
404	2180	3203
405	2187	3201
406	2193	3196
407	2199	3191
408	2204	3185
409	2209	3179
410	2214	3173
411	2219	3167
412	2223	3160
413	2229	3155
414	2233	3148
415	2238	3142
416	2243	3136
417	2248	3131
418	2253	3125
419	2258	3119
420	2263	3113
421	2268	3107
422	2273	3101
423	2282	3100
424	2287	3094
425	2293	3089
426	2297	3083
427	2303	3078
428	2308	3072
429	2313	3066
430	2318	3060
431	2323	3054
432	2328	3048
433	2333	3043
434	2338	3037
435	2343	3031
436	2348	3025
437	2354	3020
438	2359	3015
439	2365	3010
440	2370	3005
441	2376	3000
442	2382	2996
443	2388	2991
444	2393	2985
445	2398	2979
446	2403	2973
447	2408	2967
448	2413	2961
449	2418	2955
450	2423	2949
451	2428	2943
452	2433	2938
453	2438	2932
454	2443	2926
455	2448	2920
456	2453	2914
457	2458	2909
458	2463	2903
459	2470	2900
460	2477	2896
461	2482	2891
462	2488	2885
463	2492	2879
464	2497	2873
465	2502	2867
466	2505	2859
467	2510	2853
468	2515	2847
469	2520	2841
470	2525	2836
471	2530	2830
472	2535	2824
473	2540	2819
474	2550	2818
475	2557	2815
476	2563	2810
477	2569	2805
478	2574	2800
479	2579	2794
480	2584	2788
481	2589	2782
482	2594	2776
483	2599	2770
484	2603	2764
485	2608	2759
486	2613	2753
487	2618	2747
488	2623	2741
489	2628	2735
490	2633	2729
491	2638	2723
492	2642	2717
493	2647	2712
494	2652	2706
495	2658	2701
496	2664	2696
497	2669	2691
498	2674	2685
499	2679	2679
500	2684	2674
501	2689	2668
502	2694	2662
503	2699	2656
504	2704	2650
505	2709	2645
506	2714	2639
507	2718	2633
508	2723	2627
509	2728	2621
510	2735	2618
511	2741	2612
512	2743	2604
513	2749	2599
514	2756	2595
515	2761	2590
516	2767	2585
517	2772	2579
518	2777	2573
519	2782	2568
520	2786	2562
521	2792	2556
522	2797	2551
523	2802	2545
524	2807	2539
525	2811	2533
526	2816	2528
527	2821	2522
528	2826	2516
529	2831	2510
530	2836	2505
531	2841	2499
532	2846	2493
533	2851	2488
534	2856	2482
535	2861	2476
536	2866	2471
537	2878	2471
538	2885	2467
539	2891	2463
540	2897	2458
541	2902	2452
542	2908	2447
543	2913	2442
544	2919	2437
545	2924	2431
546	2930	2426
547	2935	2421
548	2940	2416
549	2949	2413
550	2954	2407
551	2960	2402
552	2965	2397
553	2971	2391
554	2975	2386
555	2981	2380
556	2985	2374
557	2990	2369
558	2995	2363
559	3000	2357
560	3005	2352
561	3010	2346
562	3015	2340
563	3020	2334
564	3025	2329
565	3030	2323
566	3035	2317
567	3040	2312
568	3043	2305
569	3048	2300
570	3053	2294
571	3058	2288
572	3064	2283
573	3069	2277
574	3074	2272
575	3079	2266
576	3081	2259
577	3083	2251
578	3087	2245
579	3092	2239
580	3097	2233
581	3102	2228
582	3107	2222
583	3112	2216
584	3117	2211
585	3123	2206
586	3129	2201
587	3137	2198
588	3142	2192
589	3147	2187
590	3153	2182
591	3158	2177
592	3163	2171
593	3168	2165
594	3174	2160
595	3179	2154
596	3184	2149
597	3189	2144
598	3194	2138
599	3197	2131
600	3201	2125
601	3206	2119
602	3211	2114
603	3216	2108
604	3221	2103
605	3226	2098
606	3233	2093
607	3238	2087
608	3243	2082
609	3249	2077
610	3254	2071
611	3256	2064
612	3261	2058
613	3265	2053
614	3270	2047
615	3275	2041
616	3280	2036
617	3285	2030
618	3290	2025
619	3295	2019
620	3299	2014
621	3304	2008
622	3309	2002
623	3315	1997
624	3323	1993
625	3329	1989
626	3335	1984
627	3340	1979
628	3346	1973
629	3351	1968
630	3357	1963
631	3361	1957
632	3366	1951
633	3371	1946
634	3376	1940
635	3381	1935
636	3386	1929
637	3391	1924
638	3396	1918
639	3400	1913
640	3405	1907
641	3410	1901
642	3421	1899
643	3426	1894
644	3431	1888
645	3437	1883
646	3442	1878
647	3447	1872
648	3452	1867
649	3457	1861
650	3462	1856
651	3467	1850
652	3472	1845
653	3476	1839
654	3481	1833
655	3486	1828
656	3493	1823
657	3498	1818
658	3503	1812
659	3510	1808
660	3516	1803
661	3521	1798
662	3530	1794
663	3536	1789
664	3541	1783
665	3546	1778
666	3551	1773
667	3556	1767
668	3561	1762
669	3566	1756
670	3571	1751
671	3576	1745
672	3581	1740
673	3586	1734
674	3590	1728
675	3595	1723
676	3601	1718
677	3606	1712
678	3611	1707
679	3616	1701
